FID,osmid,s,e,seg_length
136,375972517,3793098361,3793071955,22.62404303
137,36806903,5851792229,42434427,113.0636621
138,385107999,3857366818,3857334400,6.264418644
139,1021760889,8261122242,8261122135,15.55885077
140,888552525,8261122928,8261122927,6.640525608
141,525729008,9235539540,5651033419,119.4806878
142,"[420892266, 420892262]",42445039,42445037,49.3721365
143,934479933,8660596979,8660596954,7.289871543
144,350726030,8262309052,8262309043,140.3096456
145,954520389,8288270423,42455751,73.39960913
146,"[1021536547, 1021536543]",8261122904,8261122883,15.52442189
147,989265273,42430704,42430698,79.78274477
148,194920158,2682336534,5481883912,15.83227168
149,5670719,4872498378,8261123020,223.2385127
150,540259448,8119462449,5227014111,13.53073235
151,626226775,42455897,8119542592,13.4448835
152,22941474,247120149,247120148,12.2130145
153,884400286,6747000424,42440469,6.033660609
154,871725891,9512549126,3841254269,8.740217464
155,570146262,5481839792,5481839789,52.73002541
156,888552598,8261123408,8261123403,11.19426129
157,542259076,9235539543,42435663,14.24613205
158,1027130506,358448394,42437688,21.1939456
159,895394557,428219734,42424789,126.5000644
160,696491645,8261122903,4604294526,63.44893771
161,384177099,4872623859,4872498368,22.66821544
162,733667933,8261123406,5481856931,57.58627154
163,"[575622907, 1021760876]",8261122835,5523065801,8.225967076
164,888695641,8262308992,8262308981,14.0502008
165,893820001,8307463432,8307463426,13.83237597
166,"[834353266, 834353285, 834353278]",7788529751,7788529720,19.47389204
167,763511380,7134583592,7134583589,38.02312669
168,22941474,3874681648,247120150,11.50420979
169,889906404,8272069437,8272069436,11.38160499
170,473560290,4676427163,4676426959,7.983503167
171,457948935,4699870403,4540059456,61.74333828
172,618990022,42431549,4544486782,87.59741097
173,934479967,8660596939,8660001949,66.00741271
174,702543826,6597498412,3974095824,5.869051818
175,"[1021569544, 1021569543]",9421943122,6634486328,7.396633318
176,888695654,8262309045,8262309038,15.33387722
177,5671577,7248638332,42440566,12.58872977
178,"[978329305, 226092571]",42443618,2711029280,86.27949737
179,533859008,5178688282,4625652082,61.51178456
180,893819975,8307463094,8307463091,10.46216548
181,884400290,6747000422,6746996759,5.80472825
182,464683344,4597668020,8119462511,7.608702638
183,910774298,8457002451,8457002450,9.395466027
184,134484061,6304589764,1478572255,1.492305261
185,854051046,7964920724,7964920719,6.924863119
186,871693864,8119193333,8119193327,13.2778889
187,"[833665345, 833665306, 833665302, 833665335]",4290991591,2054377378,11.49413157
188,458166897,42449942,1731564125,28.76218026
189,891758005,8288270429,7903850297,7.736511238
190,"[1021536540, 1021536541]",8261122945,8261122933,7.506755206
191,226041032,8096337618,2723627039,27.20275306
192,954583429,8835579635,4115878741,8.753100227
193,1031879416,427850887,427850889,13.13030315
194,989228452,593920893,9143220953,73.5365476
195,22941923,247128815,247123612,76.74913379
196,196117083,8785244293,42435714,85.07143442
197,226040997,7206766286,42445417,13.70856694
198,873366713,8133342850,8119462473,64.23249317
199,822687813,7681377439,7681377436,21.16053397
200,759904487,9509176080,4011424285,0.839378651
201,812949647,8785244252,42435705,170.5208181
202,1021760890,8261122240,8261122134,4.116847889
203,945305229,8751484589,8751484568,7.345914484
204,"[343765240, 542289434, 343765238]",3814476693,3505942423,357.9732841
205,"[1021258249, 1021258250, 1021258252]",9419131251,9419131260,5.183730094
206,460606347,3833309813,6224277828,62.28460611
207,"[473560234, 473560236, 473560238]",5690488230,4676426950,48.08769971
208,"[1021536547, 888552519]",8261122907,8261122884,12.24384208
209,"[1020231982, 1020231989, 1020231990]",9409760263,9409760261,18.82890243
210,893820018,8307463489,8307463485,78.63585305
211,954209260,8831630312,8831630303,64.52511761
212,"[954929769, 954926502]",3946500927,3946500928,61.83602953
213,5670114,4799735130,42430356,187.3997077
214,888695625,8262308932,8262308924,10.93562754
215,22941737,3831470668,247122530,7.679316864
216,714529857,7761301150,6716668064,18.0737525
217,871735478,7736945406,6716668061,37.52477053
218,420894352,42430707,42430704,78.65158736
219,"[379760515, 379760516]",3830888626,3830888624,16.05548967
220,420872181,42436590,8119192810,7.245623117
221,989265273,42430698,42430694,79.96945039
222,"[384649120, 587038081]",3857366815,42430311,71.73043483
223,1043336433,593972687,7903850300,24.05387646
224,954520390,8288270409,427804196,82.85539295
225,888695640,8262308987,8262308877,6.54092568
226,527855922,5130933112,3946500933,12.48446882
227,771759767,561042198,3639382767,4.356915873
228,"[420356168, 496990648]",42449945,42446959,154.0569045
229,496990647,42446977,42446971,79.36702232
230,46201629,3011333827,7096725568,24.07178634
231,891757979,8288270361,8288270360,0.874680473
232,22941384,8307463483,7784129807,14.55431964
233,888552499,8261122858,8261122854,13.20879592
234,"[421852042, 584971501]",42455643,42430745,274.8305869
235,226041005,5266157319,42442935,43.50487796
236,324118558,3308681108,42428315,8.002665871
237,458166897,42449945,42449947,86.55079587
238,438385431,4625652083,4625653591,61.40058113
239,464683339,4597668031,4597668032,78.57249717
240,420906755,42444043,42434074,80.44243028
241,385002113,8270907190,3883528663,25.86507876
242,888695646,8262309020,8262309018,19.97906809
243,68674965,8119462452,561042188,71.94590685
244,458501696,8751484421,4544917702,20.77613812
245,527867885,6298391909,6298391904,57.28520828
246,500182595,427841071,427841073,16.50705163
247,904036752,8396064852,8396064851,2.555115919
248,893819972,8307463083,8307463082,6.163870726
249,350563861,2823833548,2823833543,146.6888107
250,884400296,8224676519,8224618704,166.5089637
251,222299276,42436756,8119192796,7.528759518
252,464683339,4597668030,4597668031,78.2793589
253,95181774,5165666208,5165666202,66.14339086
254,954209252,8831647546,8831630297,2.598670628
255,898341776,8348222104,8348222103,38.63828382
256,871730341,8119542587,8119192815,139.2557168
257,702540323,9235539567,6598535225,129.8529476
258,46443656,42432594,42432598,274.0736516
259,169381963,7248638337,7248638327,64.80149475
260,925898346,8261122910,8261122909,63.19009446
261,420903239,9144983241,593839894,8.811210798
262,984084246,4401241769,4401241767,5.065702694
263,379804530,2376384666,247071742,21.18724312
264,495499673,3874681640,3874681639,12.64943587
265,791193342,8261123363,7396482976,6.904849901
266,160801660,1728266963,1728266957,6.662000191
267,526852032,8262308926,8262308875,24.46379245
268,"[1020738681, 1020738682]",9414480642,9414480621,9.259436333
269,872052113,8122411174,8122411164,9.122133442
270,398379311,3670418741,3569749123,7.351541333
271,1021580389,9422038014,9422038013,0.646763372
272,702543823,8396878499,6597498394,155.7833933
273,889906376,8272069144,8272069012,4.769609335
274,297995664,3019038957,247798310,34.34051661
275,708353351,6636032331,8261122526,7.492343619
276,428568018,4276517115,4276517102,10.52436587
277,22936299,247073541,246650523,12.00446363
278,702647999,6598535200,6598535197,4.680561688
279,22941530,2376384661,247122530,17.4625398
280,"[1021481769, 1021481771]",9421123764,8261122828,6.483052413
281,"[420890025, 420890027]",42435707,42435710,80.65081655
282,134484066,7782217038,3727763745,30.14823108
283,873366702,8119462440,8119462437,131.7235169
284,759709670,8272069143,8272069013,23.17314929
285,734461867,6878240309,6878240308,6.013780894
286,871730345,8119542601,4234425032,7.221118085
287,989267825,9423683538,8261122120,12.09053078
288,438385431,42432436,4625652083,8.644860294
289,68668540,9423683692,9423683689,9.646482247
290,226041000,4556157744,42445664,48.80975382
291,527874595,5130933106,3946500928,14.2653671
292,569345544,3974095823,3974095821,64.30518821
293,871725886,8119462465,4234425008,6.615699368
294,"[265357870, 22941286, 265357871]",4870298758,247118712,208.3141761
295,5673561,42439952,6223524384,65.09453367
296,"[1035187244, 1035187245, 1035187246]",9535571865,9535571858,89.35524831
297,884400293,3831856762,595105499,8.114612462
298,485746107,5889481205,427842069,86.37416087
299,833665322,9421121458,9413881883,70.48981914
300,46443637,61275605,3308681118,12.43774699
301,888695615,8262308878,8262308877,63.95069205
302,385002113,8270907190,3883528661,93.28153434
303,989228452,9143220944,9143220952,55.26168579
304,847994493,42445888,4597668030,151.4061165
305,378359375,8127675291,42446291,6.966519235
306,818129160,7640871327,4259278551,13.29108569
307,5672142,42452975,8261122928,12.99571232
308,1034356580,9528766937,9528766933,22.32300475
309,420901682,42442939,3569749114,7.522112891
310,420872191,7640871323,42429900,7.906162793
311,767683107,7699762581,7167585630,10.63496688
312,989265263,247084442,247084443,12.70752309
313,458177128,561042192,42445909,147.0904025
314,641914938,4298961521,42446291,8.747632951
315,35027232,6632233656,42428300,8.581355533
316,"[845484008, 390122883, 845484007]",7888069589,42422830,220.1940269
317,226040997,3817760031,1293174689,22.82782231
318,527855913,5130933116,5130933110,8.482448589
319,"[954209256, 1037191843]",9554723736,8831647542,61.02872454
320,833665315,8119462452,7782217021,8.604698627
321,888695646,8262309018,8262309014,8.15364482
322,1049948414,4597668029,42436578,10.41978567
323,542258337,42430356,1745991212,175.8159958
324,965833822,5481881554,9112839749,9.465237025
325,888552483,8261122824,8261122823,133.6389331
326,382532143,3857366822,3857334397,5.79998557
327,473560394,4676426950,4676426949,12.60244427
328,"[33117932, 46201646]",370913779,370914027,501.4709846
329,"[46482602, 992144531, 46482603]",5481842905,42455761,205.971943
330,891757992,8288270400,8288270389,9.237857933
331,888552592,8261123360,5165666207,13.27152445
332,771759764,8122411173,8871600818,87.16580311
333,1034356595,9528767063,9528767049,22.09131547
334,888552474,8261122756,4631982549,16.6208484
335,134484061,6304589764,42449691,33.79267209
336,46443649,42440472,6747000422,117.5229628
337,532308025,6384110825,5165666204,112.1158269
338,989267821,9143569885,3874681616,11.44465846
339,350563861,3146796136,3146796134,15.53723431
340,702648008,8396064851,6598535218,48.57717927
341,273019810,5165644099,42437670,12.88883508
342,871693853,8119596368,8119193318,80.02954475
343,"[889699101, 889699102]",8271079660,8271079658,14.87139935
344,1034356596,9528767048,9528767047,6.29807051
345,578479862,9019680394,9019680391,20.43820797
346,578479862,9019680392,5542715075,10.46850865
347,658583340,42440465,6746980151,13.42190034
348,379804530,1314724151,247071742,76.15368663
349,949022086,8785244293,8785244292,11.95056463
350,954552256,427842140,5889481217,16.21371819
351,"[577830768, 577830766]",5538485397,5538485393,22.04940481
352,5669875,3009534472,4276517132,133.2159497
