DATE,PED_TOTAL
2020-09-25,2869.0
2020-09-26,2116.0
2020-09-27,1340.0
2020-09-28,3275.0
2020-09-29,2601.0
2020-09-30,3463.0
2020-10-01,3497.0
2020-10-02,3420.0
2020-10-03,2914.0
2020-10-04,1842.0
2020-10-05,2503.0
2020-10-06,2569.0
2020-10-07,2437.0
2020-10-08,3282.0
2020-10-09,3053.0
2020-10-10,1879.0
2020-10-11,1115.0
2020-10-12,2386.0
2020-10-13,2854.0
2020-10-14,3003.0
2020-10-15,2477.0
2020-10-16,2350.0
2020-10-17,2487.0
2020-10-18,1205.0
2020-10-19,2817.0
2020-10-20,2870.0
2020-10-21,2745.0
2020-10-22,2940.0
2020-10-23,1877.0
2020-10-24,2970.0
2020-10-25,1361.0
2020-10-26,1578.0
2020-10-27,2455.0
2020-10-28,2190.0
2020-10-29,1983.0
2020-10-30,2690.0
2020-10-31,2332.0
2020-11-01,881.0
2020-11-02,2588.0
2020-11-03,2000.0
2020-11-04,2030.0
2020-11-05,2485.0
2020-11-06,2481.0
2020-11-07,2736.0
2020-11-08,1077.0
2020-11-09,2290.0
2020-11-10,2401.0
2020-11-11,2302.0
2020-11-12,3044.0
2020-11-13,2858.0
2020-11-14,3111.0
2020-11-15,1316.0
2020-11-16,2193.0
2020-11-17,2620.0
2020-11-18,2629.0
2020-11-19,2223.0
2020-11-20,2476.0
2020-11-21,2853.0
2020-11-22,936.0
2020-11-23,2170.0
2020-11-24,2383.0
2020-11-25,2370.0
2020-11-26,2416.0
2020-11-27,2684.0
2020-11-28,2406.0
2020-11-29,1179.0
2020-11-30,2060.0
2020-12-01,1584.0
2020-12-02,2181.0
2020-12-03,2618.0
2020-12-04,2535.0
2020-12-05,2279.0
2020-12-06,1022.0
2020-12-07,2026.0
2020-12-08,2296.0
2020-12-09,1848.0
2020-12-10,2231.0
2020-12-11,2446.0
2020-12-12,2099.0
2020-12-13,730.0
2020-12-14,2139.0
2020-12-15,3077.0
2020-12-16,2329.0
2020-12-17,2712.0
2020-12-18,2649.0
2020-12-19,1874.0
2020-12-20,755.0
2020-12-21,2214.0
2020-12-22,2184.0
2020-12-23,2124.0
2020-12-24,1056.0
2020-12-25,322.0
2020-12-26,487.0
2020-12-27,426.0
2020-12-28,1277.0
2020-12-29,1331.0
2020-12-30,1300.0
2020-12-31,1132.0
